"page_type","source_sheet","source_row","entity_type","region","district","city","dong_eup_myeon","school_name","school_unique_name","subject","grade","slug","url","parent_url","hub_url","canonical","click_depth"
"school_content","","","school","서울","","","","중산고등학교","중산고등학교","","","과외","/school/110041731-중산고등학교/과외/","","","https://studyway.kr/school/110041731-중산고등학교/과외/","4"
"school_content","","","school","서울","","","","풍문고등학교","풍문고등학교","","","과외","/school/110041851-풍문고등학교/과외/","","","https://studyway.kr/school/110041851-풍문고등학교/과외/","4"
"school_content","","","school","서울","","","","광양고등학교","광양고등학교","","","과외","/school/110041119-광양고등학교/과외/","","","https://studyway.kr/school/110041119-광양고등학교/과외/","4"
"school_content","","","school","서울","","","","자양고등학교","자양고등학교","","","과외","/school/110041179-자양고등학교/과외/","","","https://studyway.kr/school/110041179-자양고등학교/과외/","4"
"school_content","","","school","서울","","","","영동일고등학교","영동일고등학교","","","과외","/school/110041821-영동일고등학교/과외/","","","https://studyway.kr/school/110041821-영동일고등학교/과외/","4"
"school_content","","","school","서울","","","","잠신고등학교","잠신고등학교","","","과외","/school/110041181-잠신고등학교/과외/","","","https://studyway.kr/school/110041181-잠신고등학교/과외/","4"
"school_content","","","school","서울","","","","잠일고등학교","잠일고등학교","","","과외","/school/110041268-잠일고등학교/과외/","","","https://studyway.kr/school/110041268-잠일고등학교/과외/","4"
"school_content","","","school","서울","","","","정신여자고등학교","정신여자고등학교","","","과외","/school/110041841-정신여자고등학교/과외/","","","https://studyway.kr/school/110041841-정신여자고등학교/과외/","4"
"school_content","","","school","경기","","","","장곡고등학교","장곡고등학교","","","과외","/school/410041473-장곡고등학교/과외/","","","https://studyway.kr/school/410041473-장곡고등학교/과외/","4"
"school_content","","","school","경기","","","","운유고등학교","운유고등학교","","","과외","/school/410041199-운유고등학교/과외/","","","https://studyway.kr/school/410041199-운유고등학교/과외/","4"
"school_content","","","school","경기","","","","장기고등학교","장기고등학교","","","과외","/school/410041673-장기고등학교/과외/","","","https://studyway.kr/school/410041673-장기고등학교/과외/","4"
"school_content","","","school","경기","","","","경기과학고등학교","경기과학고등학교","","","과외","/school/410043116-경기과학고등학교/과외/","","","https://studyway.kr/school/410043116-경기과학고등학교/과외/","4"
"school_content","","","school","경기","","","","대평고등학교","대평고등학교","","","과외","/school/410041208-대평고등학교/과외/","","","https://studyway.kr/school/410041208-대평고등학교/과외/","4"
"school_content","","","school","경기","","","","동우여자고등학교","동우여자고등학교","","","과외","/school/410041665-동우여자고등학교/과외/","","","https://studyway.kr/school/410041665-동우여자고등학교/과외/","4"
"school_content","","","school","경기","","","","동원동우고등학교","동원동우고등학교","","","과외","/school/410041670-동원동우고등학교/과외/","","","https://studyway.kr/school/410041670-동원동우고등학교/과외/","4"
"school_content","","","school","경기","","","","수성고등학교","수성고등학교","","","과외","/school/410041356-수성고등학교/과외/","","","https://studyway.kr/school/410041356-수성고등학교/과외/","4"
"school_content","","","school","경기","","","","수일고등학교","수일고등학교","","","과외","/school/410041365-수일고등학교/과외/","","","https://studyway.kr/school/410041365-수일고등학교/과외/","4"
"school_content","","","school","경기","","","","장안고등학교","장안고등학교","","","과외","/school/410041474-장안고등학교/과외/","","","https://studyway.kr/school/410041474-장안고등학교/과외/","4"
"school_content","","","school","경기","","","","조원고등학교","조원고등학교","","","과외","/school/410041494-조원고등학교/과외/","","","https://studyway.kr/school/410041494-조원고등학교/과외/","4"
"school_content","","","school","서울","","","","동국대학교사범대학부속고등학교","동국대학교사범대학부속고등학교","","","과외","/school/110041645-동국대학교사범대학부속고등학교/과외/","","","https://studyway.kr/school/110041645-동국대학교사범대학부속고등학교/과외/","4"
"school_content","","","school","서울","","","","문현고등학교","문현고등학교","","","과외","/school/110041263-문현고등학교/과외/","","","https://studyway.kr/school/110041263-문현고등학교/과외/","4"
"school_content","","","school","서울","","","","해성여자고등학교","해성여자고등학교","","","과외","/school/110041869-해성여자고등학교/과외/","","","https://studyway.kr/school/110041869-해성여자고등학교/과외/","4"
"school_content","","","school","서울","","","","고려대학교사범대학부속고등학교","고려대학교사범대학부속고등학교","","","과외","/school/110041613-고려대학교사범대학부속고등학교/과외/","","","https://studyway.kr/school/110041613-고려대학교사범대학부속고등학교/과외/","4"
"school_content","","","school","서울","","","","대일외국어고등학교","대일외국어고등학교","","","과외","/school/110045639-대일외국어고등학교/과외/","","","https://studyway.kr/school/110045639-대일외국어고등학교/과외/","4"
"school_content","","","school","경기","","","","저동고등학교","저동고등학교","","","과외","/school/410041480-저동고등학교/과외/","","","https://studyway.kr/school/410041480-저동고등학교/과외/","4"
"school_content","","","school","경기","","","","군서고등학교","군서고등학교","","","과외","/school/410041134-군서고등학교/과외/","","","https://studyway.kr/school/410041134-군서고등학교/과외/","4"
"school_content","","","school","경기","","","","배곧고등학교","배곧고등학교","","","과외","/school/410041925-배곧고등학교/과외/","","","https://studyway.kr/school/410041925-배곧고등학교/과외/","4"
"school_content","","","school","경기","","","","서해고등학교","서해고등학교","","","과외","/school/410041328-서해고등학교/과외/","","","https://studyway.kr/school/410041328-서해고등학교/과외/","4"
"school_content","","","school","경기","","","","정왕고등학교","정왕고등학교","","","과외","/school/410041489-정왕고등학교/과외/","","","https://studyway.kr/school/410041489-정왕고등학교/과외/","4"
